listing_id,total_reviews,vibe_tags
7101,352,Cozy & Homey | Exceptional Host | Highly Walkable | Prime Location | Fully Equipped
23395,145,Cozy & Homey | Exceptional Host | Fully Equipped | Above & Beyond | Spotless & Pristine
68229,140,Exceptional Host | Cozy & Homey | Prime Location | Fully Equipped | Spotless & Pristine
105960,81,Exceptional Host | Cozy & Homey | Fully Equipped | Prime Location | Above & Beyond
223778,81,Exceptional Host | Cozy & Homey | Prime Location | Highly Walkable | Responsive & Clear
533609,47,Prime Location | Exceptional Host | Cozy & Homey | Responsive & Clear | Fully Equipped
758778,56,Exceptional Host | Cozy & Homey | Spotless & Pristine | Prime Location | Historic Charm
1053903,80,Exceptional Host | Cozy & Homey | Prime Location | Responsive & Clear | Climate Comfort
1142940,112,Cozy & Homey | Exceptional Host | Responsive & Clear | Historic Charm | Spotless & Pristine
1404315,155,Exceptional Host | Cozy & Homey | Highly Walkable | Prime Location | Fully Equipped
1516053,28,Exceptional Host | Prime Location | Cozy & Homey | Fully Equipped | Safe & Quiet
1636325,20,Exceptional Host | Cozy & Homey | Highly Walkable | Responsive & Clear | Fully Equipped
1737756,19,Exceptional Host | Cozy & Homey | Responsive & Clear | Prime Location | Highly Walkable
2406456,20,Exceptional Host | Spacious & Bright | Cozy & Homey | Historic Charm | Prime Location
3583350,74,Cozy & Homey | Outdoor Oasis | Prime Location | Responsive & Clear | Exceptional Host
3737087,39,Prime Location | Exceptional Host | Cozy & Homey | Highly Walkable | Fully Equipped
3990025,181,Cozy & Homey | Prime Location | Outdoor Oasis | Exceptional Host | Highly Walkable
4622181,30,Exceptional Host | Cozy & Homey | Fully Equipped | Responsive & Clear | Historic Charm
4767052,19,Cozy & Homey | Exceptional Host | Highly Walkable | Prime Location | Fully Equipped
4793973,243,Cozy & Homey | Prime Location | Fully Equipped | Exceptional Host | Responsive & Clear
4912647,520,Cozy & Homey | Prime Location | Historic Charm | Exceptional Host | Outdoor Oasis
5120343,169,Cozy & Homey | Exceptional Host | Responsive & Clear | Prime Location | Spacious & Bright
6585175,57,Exceptional Host | Cozy & Homey | Spotless & Pristine | Prime Location | Fully Equipped
6624762,19,Exceptional Host | Highly Walkable | Fully Equipped | Cozy & Homey | Responsive & Clear
6731533,9,Responsive & Clear | Fully Equipped | Cozy & Homey | Prime Location | Spotless & Pristine
7240316,111,Exceptional Host | Cozy & Homey | Prime Location | Spotless & Pristine | Highly Walkable
7293053,205,Cozy & Homey | Prime Location | Highly Walkable | Fully Equipped | Responsive & Clear
8173194,72,Exceptional Host | Cozy & Homey | Responsive & Clear | Prime Location | Fully Equipped
8353332,234,Exceptional Host | Cozy & Homey | Prime Location | Responsive & Clear | Highly Walkable
8880737,55,Cozy & Homey | Exceptional Host | Responsive & Clear | Prime Location | Fully Equipped
9094456,51,Cozy & Homey | Prime Location | Exceptional Host | Responsive & Clear | Fully Equipped
9543946,35,Cozy & Homey | Exceptional Host | Spotless & Pristine | Fully Equipped | Above & Beyond
9611871,41,Exceptional Host | Cozy & Homey | Above & Beyond | Spotless & Pristine | Prime Location
9792873,90,Cozy & Homey | Exceptional Host | Prime Location | Spacious & Bright | Outdoor Oasis
11640390,205,Cozy & Homey | Prime Location | Artistic & Curated | Outdoor Oasis | Responsive & Clear
12089948,140,Exceptional Host | Cozy & Homey | Fully Equipped | Prime Location | Outdoor Oasis
12531604,258,Cozy & Homey | Prime Location | Fully Equipped | Spotless & Pristine | Exceptional Host
12792772,328,Cozy & Homey | Prime Location | Fully Equipped | Spacious & Bright | Exceptional Host
13361222,558,Prime Location | Cozy & Homey | Fully Equipped | Modern & Updated | Spotless & Pristine
13991946,12,Exceptional Host | Cozy & Homey | Highly Walkable | Fully Equipped | Prime Location
14309254,508,Cozy & Homey | Fully Equipped | Prime Location | Exceptional Host | Highly Walkable
14340087,468,Prime Location | Cozy & Homey | Fully Equipped | Highly Walkable | Spotless & Pristine
14530809,405,Prime Location | Cozy & Homey | Fully Equipped | Spotless & Pristine | Highly Walkable
14807695,34,Exceptional Host | Cozy & Homey | Responsive & Clear | Spotless & Pristine | Prime Location
15398931,25,Cozy & Homey | Historic Charm | Exceptional Host | Outdoor Oasis | Fully Equipped
15400239,5,Cozy & Homey | Historic Charm | Fully Equipped | Spotless & Pristine | Prime Location
15400428,23,Historic Charm | Cozy & Homey | Exceptional Host | Spotless & Pristine | Above & Beyond
15400534,258,Historic Charm | Cozy & Homey | Exceptional Host | Outdoor Oasis | Spacious & Bright
15938812,16,Exceptional Host | Fully Equipped | Above & Beyond | Cozy & Homey | Spotless & Pristine
16139284,3,Cozy & Homey | Highly Walkable | Spacious & Bright | Safe & Quiet
16148886,366,Prime Location | Cozy & Homey | Fully Equipped | Spotless & Pristine | Highly Walkable
16224857,371,Cozy & Homey | Spacious & Bright | Prime Location | Historic Charm | Exceptional Host
16232581,243,Cozy & Homey | Exceptional Host | Responsive & Clear | Prime Location | Spotless & Pristine
17000524,323,Cozy & Homey | Above & Beyond | Prime Location | Fully Equipped | Modern & Updated
17255511,331,Cozy & Homey | Exceptional Host | Highly Walkable | Prime Location | Fully Equipped
