listing_id,total_reviews,sentiment_positive_ratio,sentiment_neutral_ratio,sentiment_negative_ratio,sentiment_positive_count,sentiment_neutral_count,sentiment_negative_count,average_sentiment_score,total_positive_reviews,intelligent_score
7101,352,0.9801136363636364,0.011363636363636364,0.008522727,345,4,3,0.8958795454545455,345,0.9568320454545454
23395,145,0.993103448,0.006896552,0,144,1,0,0.9186786206896551,144,0.9714656551724137
68229,140,0.9571428571428572,0.021428571,0.021428571,134,3,3,0.7874492857142856,134,0.9105205
105960,81,0.9629629629629629,0.012345679012345678,0.024691358024691357,78,1,2,0.8199283950617283,78,0.9237562962962962
223778,81,0.9753086419753086,0.012345679012345678,0.012345679012345678,79,1,1,0.8746925925925927,79,0.9475929629629629
533609,47,0.9574468085106383,0.021276596,0.021276596,45,1,1,0.754076596,45,0.9006910638297873
758778,56,0.9821428571428571,0.017857142857142856,0,55,1,0,0.8468839285714286,55,0.9433508928571427
1053903,80,0.8625,0.0375,0.1,69,3,8,0.7018425,69,0.82805275
1142940,112,0.9732142857142857,0.026785714285714284,0,109,3,0,0.7982455357142858,109,0.9234022321428571
1404315,155,0.9806451612903225,0.012903225806451613,0.006451613,152,2,1,0.8699193548387095,152,0.9493629032258063
1516053,28,1,0,0,28,0,0,0.8908964285714286,28,0.9672689285714285
1636325,20,1,0,0,20,0,0,0.8963300000000001,20,0.968899
1737756,19,1,0,0,19,0,0,0.9291473684210526,19,0.9787442105263157
2406456,20,1,0,0,20,0,0,0.9453449999999999,20,0.9836035
3583350,74,0.9594594594594594,0.027027027,0.013513513513513514,71,2,1,0.8457121621621622,71,0.9293893243243243
3737087,39,0.9487179487179487,0.051282051,0,37,2,0,0.8337923076923076,37,0.9193684615384615
3990025,181,0.9668508287292817,0.027624309392265192,0.005524862,175,5,1,0.8434723756906077,175,0.9331522099447512
4622181,30,0.9,0.1,0,27,3,0,0.7545033333333333,27,0.866351
4767052,19,1,0,0,19,0,0,0.9284210526315789,19,0.9785263157894736
4793973,243,0.9835390946502057,0.012345679012345678,0.004115226,239,3,1,0.8600341563786007,239,0.9481337037037036
4912647,520,0.9807692307692307,0.017307692,0.001923077,510,9,1,0.8708198076923077,510,0.9497074807692306
5120343,169,0.9644970414201184,0.029585798816568046,0.00591716,163,5,1,0.8277721893491126,163,0.9270298816568048
6585175,57,0.9473684210526315,0.017543859649122806,0.035087719,54,1,2,0.8098719298245615,54,0.9113826315789474
6624762,19,1,0,0,19,0,0,0.9451052631578946,19,0.9835315789473683
6731533,9,0.8888888888888888,0.1111111111111111,0,8,1,0,0.8020999999999999,8,0.8739633333333333
7240316,111,0.9819819819819819,0.009009009,0.009009009,109,1,1,0.8373495495495497,109,0.940394054
7293053,205,0.9853658536585366,0.004878049,0.009756098,202,1,2,0.8273414634146342,202,0.9394219512195122
8173194,72,0.9444444444444444,0.041666666666666664,0.013888888888888888,68,3,1,0.7854583333333333,68,0.9023041666666666
8353332,234,0.9743589743589743,0.025641026,0,228,6,0,0.8454440170940171,228,0.9382485897435896
8880737,55,0.9090909090909091,0.036363636,0.054545455,50,2,3,0.7167600000000001,50,0.8604825454545454
9094456,51,0.9215686274509803,0.058823529411764705,0.019607843,47,3,1,0.7656176470588235,47,0.8826264705882352
9543946,35,1,0,0,35,0,0,0.8970771428571429,35,0.9691231428571428
9611871,41,0.975609756,0.024390243902439025,0,40,1,0,0.9076731707317073,40,0.9576678048780487
9792873,90,0.8888888888888888,0.088888889,0.022222222222222223,80,8,2,0.7536355555555556,80,0.859424
11640390,205,0.9609756097560975,0.034146341,0.004878049,197,7,1,0.8220990243902436,197,0.9232150731707315
12089948,140,0.9714285714285714,0.021428571,0.007142857,136,3,1,0.8239114285714286,136,0.9300305714285714
12531604,258,0.9689922480620154,0.023255813953488372,0.007751938,250,6,2,0.8271031007751939,250,0.9295262790697674
12792772,328,0.9176829268292683,0.042682926829268296,0.039634146341463415,301,14,13,0.7114079268292683,301,0.8640321341463415
13361222,558,0.964157706,0.019713262,0.016129032258064516,538,11,9,0.7934492831541218,538,0.9165294086021505
13991946,12,1,0,0,12,0,0,0.7928916666666667,12,0.9378675
14309254,508,0.9763779527559056,0.015748031496062992,0.007874016,496,8,4,0.8577746062992126,496,0.9431591535433071
14340087,468,0.9615384615384616,0.029914529914529916,0.008547009,450,14,4,0.7886818376068375,450,0.9135276282051281
14530809,405,0.9654320987654321,0.034567901,0,391,14,0,0.7772518518518517,391,0.9124348148148148
14807695,34,1,0,0,34,0,0,0.8889529411764707,34,0.9666858823529412
15398931,25,0.96,0.04,0,24,1,0,0.79994,24,0.915982
15400239,5,1,0,0,5,0,0,0.8549800000000001,5,0.956494
